model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
mlx-community/Qwen3.6-27B-4bit,pp2048,434.1470689981233,5.470228883572804,434.1470689981233,5.470228883572804,,,,,4933.211430713224,60.008054512779275,4720.354930381291,60.008054512779275,4933.211430713224,60.008054512779275
mlx-community/Qwen3.6-27B-4bit,tg32,14.660351814901667,0.190800213707636,14.660351814901667,0.190800213707636,15.0,0.0,15.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,pp2048,451.2199824111223,9.421008319646395,451.2199824111223,9.421008319646395,,,,,4755.8843469402445,96.05901485580549,4543.027846608311,96.05901485580549,4755.8843469402445,96.05901485580549
mlx-community/Qwen3.6-27B-4bit,tg1024,15.039647586775397,0.25805281226243554,15.039647586775397,0.25805281226243554,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,ctx_pp @ d1024,462.70730509585366,0.9253408233645958,462.70730509585366,0.9253408233645958,,,,,2428.811013659773,5.420148156022021,2215.9545133278393,5.420148156022021,2428.811013659773,5.420148156022021
mlx-community/Qwen3.6-27B-4bit,ctx_tg @ d1024,15.429779107424489,0.035002449027614235,15.429779107424489,0.035002449027614235,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,pp2048 @ d1024,308.17628230297623,0.9459685731365912,308.17628230297623,0.9459685731365912,,,,,6858.466277675082,20.418072775356855,6645.609777343149,20.418072775356855,6858.466277675082,20.418072775356855
mlx-community/Qwen3.6-27B-4bit,tg32 @ d1024,15.317255179420968,0.0663101022621267,15.317255179420968,0.0663101022621267,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,ctx_pp @ d1024,463.19687914953994,4.374308948549323,463.19687914953994,4.374308948549323,,,,,2427.3668193103126,20.029448108526136,2214.510318978379,20.029448108526136,2427.3668193103126,20.029448108526136
mlx-community/Qwen3.6-27B-4bit,ctx_tg @ d1024,15.284074379691875,0.00333695907006152,15.284074379691875,0.00333695907006152,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,pp2048 @ d1024,310.3492689636893,2.0166220456987487,310.3492689636893,2.0166220456987487,,,,,6812.153097707778,43.07930329857389,6599.296597375845,43.07930329857389,6812.153097707778,43.07930329857389
mlx-community/Qwen3.6-27B-4bit,tg1024 @ d1024,15.136388914597736,0.01076188274078433,15.136388914597736,0.01076188274078433,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,ctx_pp @ d2048,468.8936533840047,2.5173233016190597,468.8936533840047,2.5173233016190597,,,,,4582.128125320499,22.678896728818625,4369.271624988566,22.67889672881863,4582.128125320499,22.678896728818625
mlx-community/Qwen3.6-27B-4bit,ctx_tg @ d2048,15.394917580030805,0.08383376411126077,15.394917580030805,0.08383376411126077,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,pp2048 @ d2048,233.1126880078751,1.461568738143491,233.1126880078751,1.461568738143491,,,,,8998.651555312486,54.942383147113816,8785.795054980554,54.942383147113816,8998.651555312486,54.942383147113816
mlx-community/Qwen3.6-27B-4bit,tg32 @ d2048,15.240458653156656,0.05061528839862793,15.240458653156656,0.05061528839862793,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,ctx_pp @ d2048,471.22162776677607,5.1444751872988865,471.22162776677607,5.1444751872988865,,,,,4560.250250001748,49.10656057994513,4347.393749669815,49.10656057994513,4560.250250001748,49.10656057994513
mlx-community/Qwen3.6-27B-4bit,ctx_tg @ d2048,15.211927530130035,0.012905393117030886,15.211927530130035,0.012905393117030886,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,pp2048 @ d2048,233.09907935966598,1.3179036467296121,233.09907935966598,1.3179036467296121,,,,,8999.10168062585,49.82366650368246,8786.245180293918,49.82366650368246,8999.10168062585,49.82366650368246
mlx-community/Qwen3.6-27B-4bit,tg1024 @ d2048,15.05400635913921,0.005796708164707674,15.05400635913921,0.005796708164707674,16.0,0.0,16.0,0.0,,,,,,
