model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
qwen3.8-27B-oQ5e,ctx_pp @ d2048,481741.3478544077,1059.1327328813109,481741.3478544077,1059.1327328813109,,,,,6.656986001568536,0.08600864115268211,3.9248196699190894,0.08600864115268228,4538.315861000835,98.0661079721196
qwen3.8-27B-oQ5e,ctx_tg @ d2048,27.0856244548507,3.0405298389417856,27.0856244548507,3.0405298389417856,27.666666666666668,2.8674417556808756,27.666666666666668,2.8674417556808756,,,,,,
qwen3.8-27B-oQ5e,pp2048 @ d2048,341548.8939659457,30232.28954945916,341548.8939659457,30232.28954945916,,,,,8.778736344538629,0.5690221471635921,6.046570012889181,0.5690221471635921,8541.631917013243,75.15592038845335
qwen3.8-27B-oQ5e,tg32 @ d2048,26.65975606282983,5.260162568300517,26.65975606282983,5.260162568300517,27.41958514077361,5.420989307312763,27.41958514077361,5.420989307312763,,,,,,
qwen3.8-27B-oQ5e,ctx_pp @ d2048,202973.7890013349,107038.88176139473,202973.7890013349,107038.88176139473,,,,,16.055486009766657,8.207134369958256,13.32331967811721,8.207134369958254,4634.98338899808,52.624755970169026
qwen3.8-27B-oQ5e,ctx_tg @ d2048,26.927611304083314,1.0362470658429763,26.927611304083314,1.0362470658429763,27.333333333333332,1.247219128924647,27.333333333333332,1.247219128924647,,,,,,
qwen3.8-27B-oQ5e,pp2048 @ d2048,282391.7075352322,20105.102449627902,282391.7075352322,20105.102449627902,,,,,10.020652669481933,0.5082584319593138,7.288486337832485,0.5082584319593138,8487.974236321557,29.7137521712177
qwen3.8-27B-oQ5e,tg1024 @ d2048,22.211300338444108,1.2976423677167956,22.211300338444108,1.2976423677167956,22.666666666666668,1.247219128924647,22.666666666666668,1.247219128924647,,,,,,
