model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
qwen3.8-27B-5bit,ctx_pp @ d2048,436655.2706085279,77035.89477523827,436655.2706085279,77035.89477523827,,,,,7.075875337856512,0.8983817307146864,4.345583341394861,0.8983817307146861,4382.388805999653,69.82339863154391
qwen3.8-27B-5bit,ctx_tg @ d2048,15.171298580719657,0.057637552728343214,15.171298580719657,0.057637552728343214,16.0,0.0,16.0,0.0,,,,,,
qwen3.8-27B-5bit,pp2048 @ d2048,346501.13654674444,12176.508889929934,346501.13654674444,12176.508889929934,,,,,8.648194333848854,0.2102842024985715,5.917902337387204,0.2102842024985715,8396.803944342537,60.462748567481746
qwen3.8-27B-5bit,tg32 @ d2048,14.681128067306332,0.17685300382411268,14.681128067306332,0.17685300382411268,15.0,0.0,15.0,0.0,,,,,,
qwen3.8-27B-5bit,ctx_pp @ d2048,463875.53534815955,8636.739958457107,463875.53534815955,8636.739958457107,,,,,6.788652652176097,0.12773984897517618,4.058360655714447,0.12773984897517618,4485.680471999028,299.5560780752812
qwen3.8-27B-5bit,ctx_tg @ d2048,14.205623317342342,0.015397359761800658,14.205623317342342,0.015397359761800658,15.0,0.0,15.0,0.0,,,,,,
qwen3.8-27B-5bit,pp2048 @ d2048,305000.42497041373,32337.573069132424,305000.42497041373,32337.573069132424,,,,,9.517110990903651,0.6805376081564589,6.786818994442001,0.6805376081564589,8311.582124995766,278.38923299596416
qwen3.8-27B-5bit,tg1024 @ d2048,13.9602967961816,0.014784834256385871,13.9602967961816,0.014784834256385871,14.0,0.0,14.0,0.0,,,,,,
