model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
mtplx-qwen36-27b-optimized-speed,tg32,70.98755046516634,7.2752341104745275,70.98755046516634,7.2752341104745275,72.56097984878146,7.416637078564865,72.56097984878146,7.416637078564865,,,,,,
mtplx-qwen36-27b-optimized-speed,tg1024,50.056013069805296,3.214393037326216,50.056013069805296,3.214393037326216,77.33333333333333,4.714045207910316,77.33333333333333,4.714045207910316,,,,,,
mtplx-qwen36-27b-optimized-speed,ctx_tg @ d1024,50.18533525866047,1.260748421251268,50.18533525866047,1.260748421251268,74.0,5.0,74.0,5.0,,,,,,
mtplx-qwen36-27b-optimized-speed,tg1024 @ d1024,52.65161757352726,3.6785672273286627,52.65161757352726,3.6785672273286627,83.0,2.8284271247461903,83.0,2.8284271247461903,,,,,,
mtplx-qwen36-27b-optimized-speed,ctx_tg @ d8192,52.11364630390541,12.687175582348377,52.11364630390541,12.687175582348377,51.995324359846606,13.995324359846606,51.995324359846606,13.995324359846606,,,,,,
mtplx-qwen36-27b-optimized-speed,tg32 @ d8192,72.06871714265453,1.6052508482121093,72.06871714265453,1.6052508482121093,73.39535990741332,1.6118403021514298,73.39535990741332,1.6118403021514298,,,,,,
mtplx-qwen36-27b-optimized-speed,ctx_tg @ d8192,45.13030291341647,6.542679713977999,45.13030291341647,6.542679713977999,70.0,4.898979485566356,70.0,4.898979485566356,,,,,,
mtplx-qwen36-27b-optimized-speed,tg1024 @ d8192,50.94196508592032,1.670486851262873,50.94196508592032,1.670486851262873,72.66666666666667,2.6246692913372702,72.66666666666667,2.6246692913372702,,,,,,
