model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
qwen3.6:27b-mlx,ctx_pp @ d2048,436.6299258882356,11.330975047910833,436.6299258882356,11.330975047910833,,,,,4594.150597656456,193.39303061214875,4356.174888943012,193.39303061214875,4594.150597656456,193.39303061214875
qwen3.6:27b-mlx,ctx_tg @ d2048,18.925274160759724,1.3738416739840598,18.925274160759724,1.3738416739840598,27.333333333333332,6.342099196813483,27.333333333333332,6.342099196813483,,,,,,
qwen3.6:27b-mlx,pp2048 @ d2048,241.58356499213264,9.119671963499597,241.58356499213264,9.119671963499597,,,,,8727.619680343196,324.4956905864908,8489.643971629752,324.4956905864908,8727.619680343196,324.4956905864908
qwen3.6:27b-mlx,tg1024 @ d2048,16.493711852843983,0.147173576693186,16.493711852843983,0.147173576693186,21.333333333333332,1.247219128924647,21.333333333333332,1.247219128924647,,,,,,
