model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
qwen3.6-27B,ctx_pp @ d2048,511833.3964925701,45223.29910278677,511833.3964925701,45223.29910278677,,,,,6.259749997601223,0.3588797805545299,3.67955566374197,0.3588797805545299,4364.554777666247,134.6940031923954
qwen3.6-27B,ctx_tg @ d2048,33.65460730027046,1.111426281725692,33.65460730027046,1.111426281725692,34.776427543612805,1.148473824449883,34.776427543612805,1.148473824449883,,,,,,
qwen3.6-27B,pp2048 @ d2048,307776.047844419,7588.390508852321,307776.047844419,7588.390508852321,,,,,9.238402999471873,0.16305264680510784,6.658208665612619,0.16305264680510784,8337.078916668057,315.0674579386787
qwen3.6-27B,tg32 @ d2048,29.246340226587336,1.6881126387194183,29.246340226587336,1.6881126387194183,29.69157227460183,2.083192014961551,29.69157227460183,2.083192014961551,,,,,,
qwen3.6-27B,ctx_pp @ d2048,489320.8765822115,8768.515303276352,489320.8765822115,8768.515303276352,,,,,6.364638997183647,0.18532860578969304,3.7844446633243933,0.18532860578969304,4434.161333333274,142.80822088289838
qwen3.6-27B,ctx_tg @ d2048,27.967418077033756,1.4037079150841987,27.967418077033756,1.4037079150841987,28.666666666666668,1.247219128924647,28.666666666666668,1.247219128924647,,,,,,
qwen3.6-27B,pp2048 @ d2048,302874.6967112233,26077.148426440326,302874.6967112233,26077.148426440326,,,,,9.393847334043434,0.6023471733548085,6.813653000184179,0.6023471733548085,8616.651999996975,406.70379284973865
qwen3.6-27B,tg1024 @ d2048,24.50069279435191,2.70513416606524,24.50069279435191,2.70513416606524,25.0,2.943920288775949,25.0,2.943920288775949,,,,,,
