model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
grug-27b,ctx_pp @ d2048,461905.83886412205,12873.34804917663,461905.83886412205,12873.34804917663,,,,,6.676027999977426,0.17680173920695738,4.03100033145165,0.17680173920695727,4164.113639002608,80.83038435727002
grug-27b,ctx_tg @ d2048,4.933335831661684,0.060139964385375715,4.933335831661684,0.060139964385375715,5.333333333333333,0.4714045207910317,5.333333333333333,0.4714045207910317,,,,,,
grug-27b,pp2048 @ d2048,327348.2120616765,3617.3440746973565,327348.2120616765,3617.3440746973565,,,,,8.90212466523129,0.06897918861604671,6.2570969967055134,0.06897918861604671,7932.975277331328,88.97064757528352
grug-27b,tg32 @ d2048,2.812775445761394,0.3810888344523808,2.812775445761394,0.3810888344523808,3.6666666666666665,0.4714045207910317,3.6666666666666665,0.4714045207910317,,,,,,
grug-27b,ctx_pp @ d2048,460717.7934780658,19248.474802023844,460717.7934780658,19248.474802023844,,,,,6.694264004181605,0.19388405481691043,4.049236335655829,0.19388405481691026,4175.979181001215,123.43340288085925
grug-27b,ctx_tg @ d2048,7.461664141019256,2.2988424214638976,7.461664141019256,2.2988424214638976,8.0,2.160246899469287,8.0,2.160246899469287,,,,,,
grug-27b,pp2048 @ d2048,325342.53212915454,22214.6281710814,325342.53212915454,22214.6281710814,,,,,8.968499998445623,0.41866987079847434,6.323472329919848,0.41866987079847434,8203.636527662942,143.3991884801433
grug-27b,tg1024 @ d2048,8.055759703099033,1.9859443893375601,8.055759703099033,1.9859443893375601,8.666666666666666,2.0548046676563256,8.666666666666666,2.0548046676563256,,,,,,
