model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
qwen3.6-27B-5bit,ctx_pp @ d2048,431256.68691711855,20110.735814236363,431256.68691711855,20110.735814236363,,,,,6.8376669999755295,0.15942945954276444,4.2351253335558185,0.15942945954276444,4315.081458332618,26.20370019322598
qwen3.6-27B-5bit,ctx_tg @ d2048,33.63559386724472,3.216373364381468,33.63559386724472,3.216373364381468,34.72061302425262,3.320127343877646,34.72061302425262,3.320127343877646,,,,,,
qwen3.6-27B-5bit,pp2048 @ d2048,336224.375966352,8839.31098238724,336224.375966352,8839.31098238724,,,,,8.697944336745422,0.16100692398020341,6.095402670325711,0.16100692398020341,8219.611888668927,117.58799709737038
qwen3.6-27B-5bit,tg32 @ d2048,33.871737246646354,2.904464395295657,33.871737246646354,2.904464395295657,34.82970667897069,3.159769894640691,34.82970667897069,3.159769894640691,,,,,,
qwen3.6-27B-5bit,ctx_pp @ d2048,453135.49367541587,32847.61367686529,453135.49367541587,32847.61367686529,,,,,6.832791664540612,0.27066204130506705,4.230249998120901,0.27066204130506705,4497.983069331288,57.42997965184233
qwen3.6-27B-5bit,ctx_tg @ d2048,25.513772791662564,1.4655249227605895,25.513772791662564,1.4655249227605895,26.0,1.4142135623730951,26.0,1.4142135623730951,,,,,,
qwen3.6-27B-5bit,pp2048 @ d2048,335163.2528928722,29375.508067691466,335163.2528928722,29375.508067691466,,,,,8.763430666779945,0.5754443325798818,6.160889000360233,0.5754443325798818,8262.887027335333,116.76659639882143
qwen3.6-27B-5bit,tg1024 @ d2048,24.904103767681292,1.7898350908263991,24.904103767681292,1.7898350908263991,25.333333333333332,2.0548046676563256,25.333333333333332,2.0548046676563256,,,,,,
