model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
grug-27b,ctx_pp @ d2048,456712.88039942895,22686.56564932332,456712.88039942895,22686.56564932332,,,,,6.593305331383211,0.20489729495185524,4.093568997632246,0.20489729495185505,4365.230083332183,180.2057514095019
grug-27b,ctx_tg @ d2048,14.74608906121143,0.18318334972405956,14.74608906121143,0.18318334972405956,15.0,0.0,15.0,0.0,,,,,,
grug-27b,pp2048 @ d2048,331233.49330542394,6124.841985877031,331233.49330542394,6124.841985877031,,,,,8.684805667144246,0.11464455073872908,6.185069333393282,0.11464455073872908,8267.351250336409,52.99162864465367
grug-27b,tg32 @ d2048,14.600206975994121,0.023058263629803608,14.600206975994121,0.023058263629803608,15.0,0.0,15.0,0.0,,,,,,
grug-27b,ctx_pp @ d2048,485413.6150144941,7596.660956383286,485413.6150144941,7596.660956383286,,,,,6.320402334191992,0.16741757585381278,3.8206660004410273,0.16741757585381262,4308.097721999123,131.65503874850853
grug-27b,ctx_tg @ d2048,14.22160080023128,0.09598815232756402,14.22160080023128,0.09598815232756402,15.0,0.0,15.0,0.0,,,,,,
grug-27b,pp2048 @ d2048,337910.7448342609,10843.002948194413,337910.7448342609,10843.002948194413,,,,,8.566652999434154,0.19151302943131582,6.06691666568319,0.19151302943131582,8236.956916667017,250.13554378714508
grug-27b,tg1024 @ d2048,13.924573828838428,0.0047478820483601,13.924573828838428,0.0047478820483601,14.0,0.0,14.0,0.0,,,,,,
