model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
qwen3.6-27B,ctx_pp @ d2048,435810.47429613833,60985.41117161457,435810.47429613833,60985.41117161457,,,,,7.0422219990481,0.5648786548189523,4.424971998863232,0.5648786548189523,4558.978180665387,130.37959866027148
qwen3.6-27B,ctx_tg @ d2048,15.596306227418987,0.2823274889698647,15.596306227418987,0.2823274889698647,16.0,0.0,16.0,0.0,,,,,,
qwen3.6-27B,pp2048 @ d2048,324538.4384641554,7554.2928097945305,324538.4384641554,7554.2928097945305,,,,,8.931180665967986,0.14737921716227703,6.3139306657831185,0.14737921716227703,8736.712736332265,207.92240832557636
qwen3.6-27B,tg32 @ d2048,15.433452129282166,0.1581720924197023,15.433452129282166,0.1581720924197023,16.0,0.0,16.0,0.0,,,,,,
qwen3.6-27B,ctx_pp @ d2048,456612.36661020713,26157.535168328803,456612.36661020713,26157.535168328803,,,,,6.704055665371318,0.19779388966368855,4.086805665186451,0.19779388966368855,4491.087417001836,118.97403593630766
qwen3.6-27B,ctx_tg @ d2048,14.806793912679687,0.007105998308397515,14.806793912679687,0.007105998308397515,15.0,0.0,15.0,0.0,,,,,,
qwen3.6-27B,pp2048 @ d2048,333687.65921356826,33040.7376072891,333687.65921356826,33040.7376072891,,,,,8.81511099820879,0.61133312880397,6.1978609980239225,0.61133312880397,8423.000374665813,214.43943588927755
qwen3.6-27B,tg1024 @ d2048,14.7300637943323,0.008711398857159876,14.7300637943323,0.008711398857159876,15.0,0.0,15.0,0.0,,,,,,
